No transaksi,Kode,Tanggal,Masuk,Keluar,Saldo Bank,Saldo Total,Keterangan
1,IB,2014-04-11,10000000,0,0,0,Infaq Bulanan
2,DT,2014-04-13,2000000,0,0,0,Donatur Tetap
3,KB,2014-04-15,1500000,0,0,0,Kajian Bulanan
4,CS,2014-04-17,25000000,0,0,0,Cleaning Service
5,IB,2014-04-19,2750000,0,0,0,Infaq Bulanan
6,DT,2014-04-21,3150000,0,0,0,Donatur Tetap
7,KB,2014-04-23,3550000,0,0,0,Kajian Bulanan
8,CS,2014-04-25,39500000,0,0,0,Cleaning Service
9,IB,2014-04-27,4350000,0,0,0,Infaq Bulanan
10,DT,2014-04-29,4750000,0,0,0,Donatur Tetap
11,KB,2014-05-1,5150000,0,0,0,Kajian Bulanan
12,CS,2014-05-3,55500000,0,0,0,Cleaning Service
13,IB,2014-05-5,59500000,0,0,0,Infaq Bulanan
14,DT,2014-05-7,6350000,0,0,0,Donatur Tetap
15,KB,2014-05-9,6750000,0,0,0,Kajian Bulanan
16,CS,2014-05-11,7150000,0,0,0,Cleaning Service
17,IB,2014-05-13,7550000,0,0,0,Infaq Bulanan
18,DT,2014-05-15,7950000,0,0,0,Donatur Tetap
19,KB,2014-05-17,8350000,0,0,0,Kajian Bulanan
20,CS,2014-05-19,87500000,0,0,0,Cleaning Service
21,IB,2014-05-21,9150000,0,0,0,Infaq Bulanan
22,DT,2014-05-23,9550000,0,0,0,Donatur Tetap
23,DT,2014-05-23,0,594000,0,0,Donatur Tetap
24,KB,2014-05-25,9950000,0,0,0,Kajian Bulanan
25,KB,2014-05-25,0,6040000,0,0,Kajian Bulanan
26,CS,2014-05-27,10350000,0,0,0,Cleaning Service
27,CS,2014-05-27,0,614000,0,0,Cleaning Service
28,IB,2014-05-29,10750000,0,0,0,Infaq Bulanan
29,IB,2014-05-29,0,624000,0,0,Infaq Bulanan
30,DT,2014-05-31,111500000,0,0,0,Donatur Tetap
31,DT,2014-05-31,0,634000,0,0,Donatur Tetap
32,KB,2014-06-2,11550000,0,0,0,Kajian Bulanan
33,KB,2014-06-2,0,64400000,0,0,Kajian Bulanan
34,CS,2014-06-4,11950000,0,0,0,Cleaning Service
35,CS,2014-06-4,0,654000,0,0,Cleaning Service
36,IB,2014-06-6,12350000,0,0,0,Infaq Bulanan
37,IB,2014-06-6,0,664000,0,0,Infaq Bulanan
38,DT,2014-06-8,12750000,0,0,0,Donatur Tetap
39,DT,2014-06-8,0,674000,0,0,Donatur Tetap
40,KB,2014-06-10,13150000,0,0,0,Kajian Bulanan
41,KB,2014-06-10,0,684000,0,0,Kajian Bulanan
42,CS,2014-06-12,13550000,0,0,0,Cleaning Service
43,IB,2014-06-14,139500000,0,0,0,Infaq Bulanan
44,DT,2014-06-16,14350000,0,0,0,Donatur Tetap
45,KB,2014-06-18,14750000,0,0,0,Kajian Bulanan
46,CS,2014-06-20,15150000,0,0,0,Cleaning Service
47,IB,2014-06-22,15550000,0,0,0,Infaq Bulanan
48,IB,2014-07-8,18750000,0,0,0,Infaq Bulanan
49,DT,2014-07-10,19150000,0,0,0,Donatur Tetap
50,KB,2014-07-12,19550000,0,0,0,Kajian Bulanan
51,CS,2014-07-14,19950000,0,0,0,Cleaning Service
52,IB,2014-07-16,203500000,0,0,0,Infaq Bulanan
53,CS,2014-08-7,0,6940000,0,0,Cleaning Service
54,IB,2014-08-9,0,704000,0,0,Infaq Bulanan
55,DT,2014-08-11,0,714000,0,0,Donatur Tetap
56,KB,2014-08-13,0,724000,0,0,Kajian Bulanan
57,CS,2014-08-15,0,7340000,0,0,Cleaning Service
58,DT,2014-08-17,15950000,0,0,0,Donatur Tetap
59,IB,2014-08-17,0,744000,0,0,Infaq Bulanan
60,KB,2014-08-19,16350000,0,0,0,Kajian Bulanan
61,DT,2014-08-19,0,754000,0,0,Donatur Tetap
62,CS,2014-08-21,16750000,0,0,0,Cleaning Service
63,KB,2014-08-21,0,764000,0,0,Kajian Bulanan
64,IB,2014-08-23,171500000,0,0,0,Infaq Bulanan
65,CS,2014-08-23,0,774000,0,0,Cleaning Service
66,DT,2014-08-25,17550000,0,0,0,Donatur Tetap
67,IB,2014-08-25,0,784000,0,0,Infaq Bulanan
68,KB,2014-08-27,17950000,0,0,0,Kajian Bulanan
69,DT,2014-08-27,0,794000,0,0,Donatur Tetap
70,CS,2014-08-29,18350000,0,0,0,Cleaning Service
71,KB,2014-08-29,0,804000,0,0,Kajian Bulanan
72,CS,2014-08-31,0,814000,0,0,Cleaning Service
73,IB,2014-09-2,0,824000,0,0,Infaq Bulanan
74,DT,2014-09-4,0,834000,0,0,Donatur Tetap
75,KB,2014-09-6,0,844000,0,0,Kajian Bulanan
76,CS,2014-09-8,0,854000,0,0,Cleaning Service
77,IB,2014-09-10,0,864000,0,0,Infaq Bulanan
78,DT,2014-09-12,0,8740000,0,0,Donatur Tetap
79,KB,2014-09-14,0,884000,0,0,Kajian Bulanan
80,CS,2014-09-16,0,894000,0,0,Cleaning Service
81,IB,2014-09-18,0,904000,0,0,Infaq Bulanan
82,DT,2014-09-20,0,914000,0,0,Donatur Tetap
83,KB,2014-09-22,0,924000,0,0,Kajian Bulanan
84,CS,2014-09-24,0,934000,0,0,Cleaning Service
85,IB,2014-09-26,0,9440000,0,0,Infaq Bulanan
86,DT,2014-09-28,0,954000,0,0,Donatur Tetap
87,KB,2014-09-30,0,964000,0,0,Kajian Bulanan
88,CS,2014-10-2,0,9740000,0,0,Cleaning Service
89,IB,2014-10-4,0,984000,0,0,Infaq Bulanan
90,DT,2014-10-6,0,994000,0,0,Donatur Tetap
91,KB,2014-10-8,0,1004000,0,0,Kajian Bulanan
92,CS,2014-10-10,0,1014000,0,0,Cleaning Service
93,IB,2014-10-12,0,1024000,0,0,Infaq Bulanan
94,DT,2014-10-14,0,103400000,0,0,Donatur Tetap
95,KB,2014-10-16,0,1044000,0,0,Kajian Bulanan
96,CS,2014-10-18,0,10540000,0,0,Cleaning Service
97,IB,2014-10-20,0,1064000,0,0,Infaq Bulanan
98,DT,2014-10-22,0,1074000,0,0,Donatur Tetap
99,KB,2014-10-24,0,1084000,0,0,Kajian Bulanan
100,CS,2014-10-26,0,1094000,0,0,Cleaning Service
